description,category
financial modeling course,Study
subway ticket to school,Transport
water bill,Others
new soap shopping,Shopping
bought hat from adidas,Shopping
vinasun wash,Transport
drank banh cuon meeting,Food
bill for hu tieu delivery,Food
textbook for programming,Study
ruler for art,Study
new monitor shopping,Shopping
pharmacy fee,Others
sedan rental to work,Transport
sedan oil change,Transport
bought hat from market,Shopping
banh cuon at lotte,Food
car trip to home,Transport
suv ticket to station,Transport
sushi at eatery,Food
gas for flight,Transport
bought pen,Study
edx for science,Study
skincare products from sephora,Shopping
cappuccino at restaurant,Food
bought conditioner from shop,Shopping
festival ticket,Others
notebook for science,Study
rent bill,Others
music certification fee,Study
enjoyed meat with friends,Food
fitness subscription,Others
bought blazer from zara,Shopping
bought diary,Study
icloud subscription,Others
bill for fish party,Food
meat at cafe,Food
google drive subscription,Others
event ticket,Others
manicure fee,Others
youtube subscription,Others
netflix subscription,Others
mcdonalds big mac meal,Food
new soap shopping,Shopping
designer handbag sale,Shopping
new vest shopping,Shopping
adobe subscription,Others
bought blouse from lazada,Shopping
medicine fee,Others
bought gift from shop,Shopping
spotify subscription,Others
gas bill,Others
enjoyed bun bo hue delivery,Food
com tam at eatery,Food
coding stickers for laptop,Study
online library pass,Study
google drive subscription,Others
bought purse from chanel,Shopping
drank fish for breakfast,Food
bought course,Study
bought cologne from nike,Shopping
bought planner,Study
new tie shopping,Shopping
new sweater shopping,Shopping
fitness subscription,Others
data science membership,Study
new bracelet shopping,Shopping
bought scarf from market,Shopping
suv maintenance,Transport
facial masks and serum,Shopping
suv cleaning,Transport
airline service,Transport
mai linh toll,Transport
math exam fee,Study
ordered cookie with family,Food
zoo ticket,Others
new cologne shopping,Shopping
flight parking,Transport
bill for pho for dinner,Food
subway ride to work,Transport
adobe subscription,Others
science exam fee,Study
new scarf shopping,Shopping
coursera for science,Study
art certification fee,Study
spotify subscription,Others
bun bo hue at street food,Food
fuel for gojek,Transport
gas for flight,Transport
pizza at phuc long,Food
car rental to airport,Transport
programming certification fee,Study
new cologne shopping,Shopping
sedan repair,Transport
fuel for gojek,Transport
business photocopy,Study
bought conditioner from adidas,Shopping
new body wash shopping,Shopping
paid for banh cuon snack,Food
barber fee,Others
comic for english,Study
cinema ticket,Others
plane fare to downtown,Transport
toeic for business,Study
google drive subscription,Others
juice at the coffee house,Food
spa fee,Others
bought udemy,Study
wifi bill,Others
suv ride to school,Transport
book for science,Study
wifi bill,Others
vinasun oil change,Transport
highlighter set for exams,Study
adobe subscription,Others
ordered coke for breakfast,Food
novel for coding,Study
programming certification fee,Study
gas bill,Others
bought lotion from gucci,Shopping
taxi booking to school,Transport
new earphones shopping,Shopping
bought suit from gucci,Shopping
scooter ticket to work,Transport
bought game from shopee,Shopping
loan bill,Others
plane trip to mall,Transport
lesson for marketing,Study
